ProductID,Name,PremiumFlag,ModelType,Color,TyreType,YearReleased,BasePrice,Scale,Edition,SeriesName,CountryOfOrigin
1,Mega Thrust,0,Sports,Silver,Plastic,1998,435.28,01:18,Treasure Hunt,Speed Machines,Malaysia
2,Rip Rod,0,Concept,Red,Plastic,1974,635.92,01:18,Mainline Edition,Street Beasts,China
3,Dodge Challenger SRT,0,Classic,Yellow,Rubber,2014,489.42,01:18,First Edition,Dream Garage,India
4,HW Pursuit,1,Concept,Green,Plastic,1973,2385.72,01:18,First Edition,Dream Garage,China
5,HW Formula Solar,1,Classic,Blue,Plastic,1982,1394.88,01:18,Collectors Edition,Legends,Thailand
6,Cruise Bruiser,0,Concept,White,Plastic,1971,706.2,01:18,Treasure Hunt,HW Flames,Indonesia
7,Winning Formula,1,Classic,Orange,Plastic,1979,1905.46,01:18,Mainline Edition,Speed Machines,Indonesia
8,D-Muscle,1,Hypercar,Red,Plastic,2002,1460.72,01:18,Treasure Hunt,Legends,China
9,Hot Wheels Armored Truck,0,Hypercar,Red,Rubber,1972,519.18,01:18,Mainline Edition,Street Beasts,Thailand
10,68 Mercury Cougar,0,Classic,Black,Rubber,1978,314.11,01:18,Collectors Edition,Legends,China
11,Electro Silhouette,1,Hypercar,Yellow,Rubber,1973,1912.38,01:18,First Edition,Speed Machines,Malaysia
12,Prototype H-24,1,Classic,Black,Rubber,2017,2309.74,01:18,First Edition,Legends,Indonesia
13,Super Blitzen,1,Sports,Blue,Plastic,2000,1753.16,01:18,Collectors Edition,Legends,India
14,Hammerhead,1,Truck,Silver,Plastic,1986,1905.37,01:18,Treasure Hunt,Legends,Indonesia
15,Street Wiener,0,Truck,Orange,Plastic,2020,447.05,01:18,Treasure Hunt,Legends,Malaysia
16,Honda Civic Type R,0,Hypercar,White,Rubber,2016,746.23,01:18,Treasure Hunt,Speed Machines,India
17,Hot Seat,1,Classic,White,Rubber,2008,1745.78,01:18,First Edition,Speed Machines,Malaysia
18,Screamliner,1,Muscle,White,Plastic,2017,1713.41,01:18,Mainline Edition,Speed Machines,India
19,The Gov'ner,1,Offroad,Green,Plastic,2007,1297.27,01:18,Mainline Edition,Speed Machines,Indonesia
20,Porsche 911 GT3 RS,1,Offroad,Blue,Rubber,2005,1455.66,01:18,First Edition,Legends,Thailand
21,Super Stinger,1,Hypercar,Black,Plastic,1998,2426.81,01:18,Mainline Edition,Street Beasts,China
22,Way 2 Fast,1,Hypercar,Yellow,Rubber,1975,1948.72,01:18,Collectors Edition,Street Beasts,India
23,Nissan Skyline GT-R (R34),1,Truck,Green,Rubber,2020,1827.01,01:18,Mainline Edition,Legends,Thailand
24,Hover & Out,0,Concept,Blue,Rubber,1980,709.87,01:18,Mainline Edition,Legends,India
25,Subaru WRX STI,1,Truck,Green,Plastic,2005,2398.5,01:18,Collectors Edition,Speed Machines,Malaysia
26,RD-02,1,Concept,Black,Rubber,1973,1263.24,01:18,Collectors Edition,Street Beasts,Indonesia
27,Muscle Bound,0,Muscle,Green,Plastic,1973,712.1,01:18,Mainline Edition,Dream Garage,China
28,Roger Dodger,0,Muscle,Silver,Rubber,2024,454.83,01:18,Collectors Edition,HW Flames,Malaysia
29,Velocity X,1,Truck,Orange,Rubber,1969,2386.03,01:18,Mainline Edition,HW Flames,Malaysia
30,Skull Crusher,1,Concept,Silver,Plastic,1980,2446.55,01:18,Collectors Edition,Street Beasts,Malaysia
31,Ford Mustang GT,1,Truck,Silver,Rubber,1981,1409.43,01:18,First Edition,Street Beasts,China
32,Mad Manga,1,Sports,Green,Rubber,1980,1945.56,01:18,Mainline Edition,Street Beasts,Indonesia
33,Eruption,0,Truck,Black,Rubber,1997,599.34,01:18,Collectors Edition,Street Beasts,India
34,Veloci-Racer,1,Hypercar,Green,Plastic,2009,2104.71,01:18,First Edition,Street Beasts,Thailand
35,Chevrolet Camaro SS,0,Truck,Black,Plastic,1975,684.5,01:18,First Edition,HW Flames,Indonesia
36,Bone Shaker,1,Muscle,Orange,Plastic,2016,1349.85,01:18,Collectors Edition,Street Beasts,Thailand
37,Deora II,1,Sports,Green,Plastic,1998,1627.85,01:18,Mainline Edition,Speed Machines,India
38,Solar Reflex,0,Concept,Silver,Plastic,2014,590.37,01:18,Mainline Edition,Dream Garage,China
39,Driftsta,0,Offroad,Red,Plastic,1979,584.27,01:18,Treasure Hunt,Dream Garage,Thailand
40,Baja Truck,1,Offroad,Blue,Plastic,1995,1955.23,01:18,First Edition,Dream Garage,India
41,24 Ours,0,Sports,Green,Plastic,2013,366.94,01:18,Collectors Edition,Dream Garage,China
42,Twin Mill,1,Sports,Green,Rubber,1968,1704.58,01:18,First Edition,Legends,Thailand
43,Crescendo,0,Muscle,Red,Rubber,1978,777.22,01:18,Mainline Edition,Legends,China
44,Power Pistons,1,Truck,Orange,Rubber,1990,2487.6,01:18,Treasure Hunt,Speed Machines,China
45,Formul8r,0,Hypercar,Red,Rubber,1989,738.04,01:18,Treasure Hunt,Street Beasts,Malaysia
46,Tesla Roadster,0,Sports,Yellow,Plastic,2013,753.6,01:18,First Edition,Legends,Malaysia
47,Blvd. Bruiser,1,Muscle,Silver,Plastic,2023,1527.11,01:18,Collectors Edition,Dream Garage,Indonesia
48,What-4-2,1,Muscle,Blue,Plastic,1981,2091.04,01:18,Collectors Edition,Dream Garage,India
49,Datsun 240Z,0,Concept,Green,Rubber,2014,525.53,01:18,Treasure Hunt,Speed Machines,Thailand
50,Hyper Truck,0,Truck,Silver,Plastic,2015,493.36,01:18,Collectors Edition,Street Beasts,India
51,Fast Fish,1,Muscle,White,Rubber,1994,1518.94,01:18,Collectors Edition,Dream Garage,India
52,Hi-Roller,0,Muscle,Silver,Rubber,1993,381.69,01:18,Collectors Edition,Street Beasts,Malaysia
53,Night Burner,0,Truck,Blue,Plastic,1974,673.48,01:18,Treasure Hunt,Speed Machines,India
54,Mountain Mauler,1,Concept,Red,Plastic,1989,1329.35,01:18,Mainline Edition,Dream Garage,Indonesia
55,Volkswagen Beetle,1,Classic,Yellow,Rubber,1970,1577.89,01:18,Mainline Edition,HW Flames,Thailand
56,Mach Speeder,1,Classic,Yellow,Rubber,1982,1731.05,01:18,Collectors Edition,HW Flames,Thailand
57,Slingshot,1,Hypercar,White,Rubber,1985,1842.15,01:18,Collectors Edition,Dream Garage,Indonesia
