SaleID,ProductID,CustomerID,SaleDate,Quantity,SalePrice,DiscountApplied,ProfitAmount,PaymentMode
1,57,3793,2024-09-03,1,2506.2,0,664.05,GPay
2,42,3654,2024-08-27,2,2252.43,0.28,-82.83,Paytm
3,133,8688,2025-11-13,2,2445.14,0,613.48,Card
4,11,184,2021-05-22,3,2684.59,0.27,47.37,PhonePe
5,233,6194,2021-06-06,2,838.68,0.26,47.54,UPI
6,2,9447,2024-10-11,1,888.41,0.02,234.72,PhonePe
7,195,9086,2020-09-16,1,499.11,0.06,126.35,PayPal
8,251,1898,2025-04-14,2,818.25,0,101.83,PhonePe
9,207,8711,2024-04-11,1,740.33,0,207.54,PhonePe
10,11,655,2020-07-07,2,2394.82,0.23,-68.37,GPay
11,16,8533,2021-02-04,1,879.52,0,133.29,Card
12,134,1737,2021-05-06,2,912.76,0,286.83,UPI
13,266,151,2021-08-16,3,601.26,0,142.76,Paytm
14,261,914,2022-03-26,1,2462.97,0,277.81,PhonePe
15,199,438,2020-02-20,1,596.41,0,187.84,PhonePe
16,195,9790,2024-07-31,1,423.18,0,80.37,PayPal
17,67,9354,2021-10-25,1,933.37,0,156.15,Paytm
18,213,5054,2025-04-29,2,767.92,0.17,20.42,Cash
19,88,3117,2021-11-05,1,656.59,0.01,188.37,Paytm
20,177,9777,2021-11-16,2,2898.91,0,877.33,Card
21,179,7121,2024-07-10,3,705.97,0.11,68.01,Paytm
22,26,292,2025-08-13,3,1634.44,0.09,224.1,Cash
23,147,3869,2023-11-16,3,2478.45,0.08,589.86,GPay
24,251,9697,2024-09-05,2,1061.37,0.25,79.61,Paytm
25,108,5357,2025-06-13,1,844.76,0,250.51,PhonePe
26,108,4532,2021-12-17,1,826.13,0.17,91.44,PhonePe
27,3,3114,2025-01-23,3,634.87,0.03,126.4,PayPal
28,237,108,2020-11-18,1,716.7,0,89,Card
29,184,1580,2024-10-04,2,462.44,0,106.11,GPay
30,300,321,2024-05-28,3,1929.08,0.01,602.27,Paytm
31,207,6541,2023-06-12,1,677.62,0,144.83,Cash
32,59,3339,2024-10-29,1,2114.11,0,614.67,GPay
33,264,7411,2024-06-23,1,829.5,0.03,185.5,PayPal
34,39,3911,2024-11-12,2,853.11,0,268.84,Card
35,29,6905,2021-02-24,3,2630.12,0.23,-360.84,PhonePe
36,23,3120,2022-07-14,1,2147.02,0,320.01,GPay
37,230,4621,2020-08-16,3,1951.2,0.19,239.85,Paytm
38,30,5034,2022-05-09,2,2848.03,0.28,-395.97,PayPal
39,216,4786,2022-09-04,3,803.03,0.22,25.02,Card
40,140,8295,2022-11-05,1,2246.64,0,647.11,Card
41,62,2277,2025-01-20,3,2437.28,0,659.29,Cash
42,262,4418,2021-03-18,3,3118.99,0.22,241.18,PayPal
43,205,6158,2022-10-09,3,1890.71,0.2,43.99,UPI
44,197,6660,2023-02-07,1,2450.02,0,569.43,Card
45,197,703,2020-12-27,2,2665.32,0.13,438.24,UPI
46,82,9381,2025-02-02,1,560.65,0.25,38.35,Card
47,170,4506,2020-09-26,1,2839.45,0,717.65,Card
48,172,447,2022-11-13,2,755.79,0,125.29,Paytm
49,168,2014,2023-05-21,1,451.8,0,90.75,PhonePe
50,34,1391,2024-09-27,3,2858.02,0,753.31,PayPal
51,277,4656,2022-10-17,1,2346.97,0.05,129.1,PhonePe
